rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:5nC5a57UgrSg1mUxsz1P9D","Spalexma","We Are Charlie Kirk","SP MUSIC PROJECT",1,1,11
2,"spotify:track:6jppHdy8EW9ghHlOCpGBEr","Bershy","Radio","Bridge Between Records",2,2,9
3,"spotify:track:0Q9rHyEG7lME4y2Fqtuxgl","sufr, Arpit Bala, toorjo dey","bargad","Sony Music India / Brown",2,3,12
4,"spotify:track:4hfzUjG7A5fsr0xoMfdxMA","Lenar","Montagem Miau","Launch13",4,4,3
5,"spotify:track:3cLXrotzCjYCkN73PewALM","HWASA","Good Goodbye","P NATION",4,5,7
6,"spotify:track:0myRViRgmQ3J8izICXEAVO","She & Him","I Thought I Saw Your Face Today","Merge Records",6,6,24
7,"spotify:track:3vJIaiTIHxHhYafTSPNiH4","Disney, Shakira","Zoo","Walt Disney Records",7,11,7
8,"spotify:track:0febwTwLDSZzrt46i1RBF5","Zeeshan Ali","Ishqa Ve","Openmic Studios",7,7,13
9,"spotify:track:4oVO4fGNRRvEn0CRuFO4qv","ROSALÍA, Yahritza Y Su Esencia","La Perla","Columbia",3,9,10
10,"spotify:track:5YG4rxeltvw2KmOy0dW4z9","DJ YUZAK, MC BN, Mc RN Original","Montagem Sarra Sarra","Mandelão Records",6,8,10
11,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",7,10,10
12,"spotify:track:410fyfFghBsxNu45LiNJ24","fitterkarma","Pag-Ibig ay Kanibalismo II","fitterkarma",2,14,34
13,"spotify:track:4RvaI6d8mWCfEcGffUN52w","Olga Myko","use me!!!!!!!","Olga Myko",5,13,21
14,"spotify:track:7u3BVQ9DG1KA9c3Q8W3BLr","Hazbin Hotel, Keith David, Lilli Cooper, Kimiko Glenn, Krystina Alabado, Sam Haft, Andrew Underberg","Love In A Bottle","Atlantic Records",10,12,3
15,"spotify:track:24GdDBCqLhHEe2cAFvgUrL","GIRLSET","Little Miss","Republic Records",13,16,3
16,"spotify:track:7r6xGsyES2DTacyP6O585i","Gaten Matarazzo, Gabriella Pizzolo","Never Ending Story","Legacy Recordings",1,15,90
17,"spotify:track:6fCS2Zg9OKiWh51TbFFWXG","Wegh","Geri Ver","Mamba Music",14,17,3
18,"spotify:track:1BZsLiymbw2UihokAVyTrR","Dongker, Jason Ranti","disarankan di bandung","Greedy Dust",18,24,9
19,"spotify:track:0DCmf7066T5DAjiF8uahv1","Sabat Batin, Rackstar","Gal Sun","Giraffe Music",4,20,23
20,"spotify:track:75mFrseCKSI6Nz8WANXq90","YOUNGOHM","ใจฉันตามเธอไป","Youngohm",14,19,20
21,"spotify:track:1lJOLxDS8kS2rihrqezMcv","EsDeeKid","Century","Lizzy Records",19,21,17
22,"spotify:track:6ly0Zc4mrK1W0XLeuAk5Dv","Hazbin Hotel, Blake Roman, Sam Haft, Andrew Underberg","Losin' Streak","Atlantic Records",16,18,3
23,"spotify:track:0qheD9ZwdmVKu5ktHXFbb0","Madhur Sharma, Moin, ER","Andaaz e Karam","Universal Music India Pvt Ltd.",21,23,20
24,"spotify:track:554qQSs9lpRVq6TlaaiIKT","EsDeeKid","4 Raws","Lizzy Records",14,22,73
25,"spotify:track:64qfw9JZl3RYCrq4Mn0WvT","Idgitaf","Sedia Aku Sebelum Hujan","idgitaf musik",25,26,14
26,"spotify:track:4xqrdfXkTW4T0RauPLv3WA","Conan Gray","Heather","Republic Records",3,-1,173
27,"spotify:track:1udOOSbJnytCdgvbgYOF5s","fitterkarma","Kalapastangan","fitterkarma",8,25,30
28,"spotify:track:4oVdhvxZrKQTM9ZsUIZa3S","Neck Deep","December","Hopeless Records",28,33,27
29,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",2,27,59
30,"spotify:track:7250RSp7sakMDZoeXuywlx","Orchestra Club, Alina Kay","Everything Is Romantic","Iron Block Records",16,28,12
31,"spotify:track:57Z6TJCTMACXxdrcwZ3Zvf","EsDeeKid, Rico Ace","Phantom","Lizzy Records",16,32,80
32,"spotify:track:0q5e5KtUOhYQujmhLP0pKd","Paresh Pahuja, Shiv Tandan, Meghdeep Bose","Dooron Dooron","Paresh Pahuja",23,30,72
33,"spotify:track:07jbA8o32bNGipAdIBhcE4","Yuri Redicopa, wBoy, Mc Britney, Dj Batata","Rebola não para","Rua B Records",26,29,3
34,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",8,35,38
35,"spotify:track:4VxTzYm00mg82MuoT35Ja7","Tyla","CHANEL","Epic",27,36,24
36,"spotify:track:3c3JC5TjFrEqEKheU7227c","Akbar Chalay, Zynakal, ciloqciliq","Ngga Dulu","Daitone Musika",25,37,23
37,"spotify:track:6DH13QYXK7lKkYHSU88N48","Daniel Caesar","Who Knows","Republic Records",9,34,24
38,"spotify:track:55vPnuXfuzXNW75JpuSczF","disiz, Theodora","melodrama","Carré Bleu Production",9,39,52
39,"spotify:track:3HfKlhohNNTLIv2t9uvmzz","NF","FEAR","NF Real Music II",27,31,3
